geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
LU,2013,6.2,2.3,F,-1.7,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,G,21.8,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,H,5.3,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,I,13.5,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,J,20.3,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,K,23.0,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,L,23.8,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,M,23.3,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,N,14.1,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,P,4.8,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,Q,1.5,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,R,14.9,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,S,29.6,Luxembourg,1.0,0.73,0.75
LV,2013,16.0,9.5,B,21.5,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,B-N,14.8,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,B-S,14.2,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,B-S_X_O,16.0,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,C,20.7,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,D,20.6,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,E,19.4,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,F,0.4,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,G,23.5,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,H,5.8,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,I,14.0,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,J,14.0,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,K,30.6,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,L,15.4,Latvia,1.0,0.77,0.79
LV,2013,16.0,9.5,M,12.7,Latvia,1.0,0.77,0.79
